found_date,serial,mark,applicant,applicant_country,route,international_registration,office_action,office_action_date,filing_date,tsdr_status
2026-09-01,98213400,COLOURCOTT,"Jing, Wang",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213400&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213399,COSMICCOVEN,"Shenzhen Juechu Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213399&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213398,DHLCOPIER,"Shenzhen Dinghao Long Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213398&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213397,ZONKASION,"Shenzhen Zhongyue Tongguang Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213397&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213307,REBOCK,"Qinghe County Leibo Automotive Parts Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-06,https://tsdr.uspto.gov/#caseNumber=98213307&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213298,EASEKIDI,"Putian Qicai Trading Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-06,https://tsdr.uspto.gov/#caseNumber=98213298&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98211599,GUESKERBEN,"Shenzhen Benyasheng Trading Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-05,https://tsdr.uspto.gov/#caseNumber=98211599&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98211578,BLINGTAGTOWN,"Dongguan Lianka E-commerce Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-05,https://tsdr.uspto.gov/#caseNumber=98211578&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98211566,GICORINO,"Shenzhen Henggou Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-05,https://tsdr.uspto.gov/#caseNumber=98211566&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98211543,GOGOGREAT,"Shenzhen Qianlong Internet Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-05,https://tsdr.uspto.gov/#caseNumber=98211543&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98211532,MELANCON,"Qunbin, Zeng",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-05,https://tsdr.uspto.gov/#caseNumber=98211532&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98211509,YUN GEDIAOGOOB3,"Zhaosheng, Liu",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-05,https://tsdr.uspto.gov/#caseNumber=98211509&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98211500,QUARERAUQ,"Shenzhen Muziqi Information Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-05,https://tsdr.uspto.gov/#caseNumber=98211500&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98209994,YARIVER,"Changsha Jiqu Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-04,https://tsdr.uspto.gov/#caseNumber=98209994&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98209982,PETONY,"Hangzhou Beijiaer Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-04,https://tsdr.uspto.gov/#caseNumber=98209982&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98209979,TSOJOLEA,"Gushi County Jinyao Trading Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-04,https://tsdr.uspto.gov/#caseNumber=98209979&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98209976,SOJUNYOU,"Sichuan Zhaoyangjun International Trade Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-04,https://tsdr.uspto.gov/#caseNumber=98209976&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98209971,SYHHJJ,"Xiaohua, Cui",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-04,https://tsdr.uspto.gov/#caseNumber=98209971&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98209963,AUTO SAFETY,"Chenbin, Shen",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-04,https://tsdr.uspto.gov/#caseNumber=98209963&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98209957,GERILA,"Zhijiang Tuanping Trading Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-04,https://tsdr.uspto.gov/#caseNumber=98209957&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98209946,CELEBWONDE,"Hainan Haha Pengpeng Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-04,https://tsdr.uspto.gov/#caseNumber=98209946&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98209921,SOULEVOKE,"Shantou Dezi Zhiyi Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-04,https://tsdr.uspto.gov/#caseNumber=98209921&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383240,N NAUNBWON,Wang Fei,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383240&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383222,SMOYNDY,ShenZhenShiYouShiHeMaoYiYouXianGongSi,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383222&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383220,SIMKET,"Shenzhen Lianyi Shoudai Manufacturing Co., Ltd.",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383220&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383215,SHIBAI,Zhu Chenhui,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383215&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383213,SPIDERHERO,Yu Youmei,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383213&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383209,SNIPERTEARS,Guo Lin,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383209&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383206,SNIPERMOMENT,Guo Lin,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383206&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383204,SUNBLUEROCK,Su Lei,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383204&caseType=SERIAL_NO&searchType=statusSearch
